math;gender;ethnicity;bmi;siblings;income;momeduc;momwork;school;schoolissues;tvmfb;tvmfa;tvsat;tvsun;computer
108.6818;female;white;19.34;0;65000;college;<35h;other private;0;0;1;3;3;1
95.54582;male;white;17.92;1;60000;some college;no work;public;1;1;1;3;3;1
103.4585;female;white;20.95;2;65000;some college;>= 35h;public;1;2;1;5;5;1
104.6014;male;white;16.19;1;25000;some college;>= 35h;public;1;1;2;6;6;1
106.4592;male;white;15.18;2;170000;college;no work;catholic;0;0;2;4;4;1
104.154;female;white;15.4;1;80000;some college;<35h;catholic;1;1;1;3;3;1
75.17314;male;white;18.6;1;60000;12 yrs;>= 35h;public;0;0;0;0;0;1
113.4236;male;white;20.36;1;100000;college;<35h;catholic;0;0;1;3;3;1
88.89272;female;white;16.66;2;40000;9-11 yrs;<35h;public;0;0;1;3;1;1
105.2628;female;white;16.59;1;130000;college;<35h;public;1;0;0;2;2;1
113.2631;male;white;18.3;1;97500;college;<35h;public;0;0;0;3;3;1
88.36262;female;white;19.39;2;22000;12 yrs;>= 35h;public;1;1;1;3;3;0
103.9789;female;white;18.24;0;80000;12 yrs;>= 35h;public;0;0;1;2;2;0
106.965;male;white;15.91;1;65000;college;<35h;public;0;0;1;2;2;1
111.5366;male;white;20.16;2;36000;college;<35h;catholic;1;0;0;2;1;1
97.79269;female;white;18.1;1;40000;12 yrs;>= 35h;public;0;2;0;1;1;1
105.5887;female;white;25.44;1;39000;some college;>= 35h;public;0;1;0;2;0;1
102.4956;male;white;16.97;1;35000;some college;>= 35h;public;0;0;1;0;0;1
99.59701;female;white;19.89;1;55000;college;>= 35h;public;1;0;1;3;3;1
101.4597;female;white;21.12;2;15000;some college;no work;public;1;0;0;2;0;1
106.4155;male;white;16.56;0;100000;college;>= 35h;public;0;0;0;2;1;1
104.6501;female;white;15.52;0;80000;college;>= 35h;public;0;0;1;3;3;1
106.0313;female;white;15.16;2;100000;college;<35h;public;1;1;2;3;3;1
114.4984;male;white;21.28;1;350000;college;<35h;public;0;1;1;2;2;1
105.5109;male;white;15.82;1;58000;12 yrs;>= 35h;catholic;1;0;1;3;3;1
103.5412;female;white;27.51;2;14400;12 yrs;no work;public;1;0;0;2;1;1
101.7758;male;white;23.62;1;65000;12 yrs;>= 35h;public;0;2;2;10;10;1
88.35775;female;white;21.78;1;55000;college;>= 35h;public;1;0;2;4;4;1
80.47422;female;white;25.89;2;70000;some college;>= 35h;public;1;1;1;2;3;1
97.49117;female;white;24.94;1;100000;college;>= 35h;catholic;1;0;0;1;1;1
77.42002;female;white;29;0;20000;1-8 yrs;>= 35h;public;1;1;2;3;2;0
101.5715;male;white;17.64;1;100000;12 yrs;>= 35h;public;0;1;1;2;0;1
104.8981;male;white;17.57;2;90000;college;no work;public;0;0;0;2;2;1
98.25958;female;white;19.08;1;110000;college;>= 35h;public;1;1;0;2;1;1
108.0739;male;white;17.45;2;300000;college;<35h;public;0;1;0;2;2;1
90.18152;male;white;21.66;1;12000;12 yrs;>= 35h;public;0;0;1;2;2;1
115.0042;male;white;16.11;2;92000;college;no work;public;0;1;0;2;0;1
104.2123;male;white;23.02;2;55000;some college;>= 35h;public;0;0;1;2;2;1
107.8745;female;white;30.41;0;65000;12 yrs;>= 35h;catholic;1;0;1;2;2;1
97.88996;female;white;15.77;0;40000;12 yrs;>= 35h;other private;0;0;1;3;3;1
103.3856;female;white;22.61;1;45000;college;<35h;public;1;1;2;4;3;1
108.9736;male;white;16.15;1;80000;some college;>= 35h;public;1;0;1;2;2;1
94.66555;female;white;21.41;0;80000;9-11 yrs;no work;public;1;0;1;3;1;1
100.2001;female;white;25.68;2;200000;12 yrs;no work;public;1;2;2;3;4;1
